filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,ADI,ACItf,BI,TE,ESM,NDSI,P,M,MIDBNT,MD,FM,SF,cluster,label
13654-302143__0__20170123_132000.wav,0.7149198651313782,3170.38131983912,3970.409671763036,8521.990135358214,0.0,1.2887798164395117,44986.144491661566,0.9992276293764654,0.9217156970546194,0.1351671808704122,1.312585687963256,774.1952246346912,0.01717408274785324,-100.3515102931758,-12.990216281833902,40.2064577125476,0.23268922460679936,Cluster6,Alta
13654-302143__0__20170204_054000.wav,0.6816098690032959,1387.3300046510199,2448.7716664239674,4695.1966087884575,0.0,2.705838439143164,45504.50298621702,0.9998216389283128,0.9639898564374374,-0.2554308072311445,0.5930786376120597,777.9160568436344,0.03981264637002342,-100.3515102931758,-9.425211618528415,40.05146678307239,0.1869788618041048,Cluster6,Alta
13654-302143__0__20170125_043000.wav,0.3433060348033905,2117.0675587248593,2685.8515933398685,5000.2780973357685,0.0,2.106239691796122,45620.0801129387,0.9995850745671216,0.9090997986952292,0.9581195139145147,46.754937607879185,782.6775929216577,0.01014832162373146,-100.3515102931758,-9.196270367859661,39.978144131879944,0.08986599622588047,Cluster6,Alta
13654-302143__0__20170126_172000.wav,0.5425836443901062,4737.736305256069,3828.548801425781,8862.488076413749,0.007319305703366873,2.63346345698108,45389.52515667313,0.9976721157427886,0.8344353688042488,0.4693118179451629,2.7686914230046593,786.643112575823,0.0,-100.3515102931758,-14.047257032232352,40.20920430257644,0.07123850288509145,Cluster6,Alta
13654-302143__0__20170124_112000.wav,0.8450629115104675,1766.4023655508076,3050.7304100028173,5147.718872448239,0.0,1.8316086976031327,46151.16539022136,0.9998658026749138,0.8953210452279657,-0.0668281974839777,0.8747161021023137,768.9285437077147,0.06947697111631537,-100.3515102931758,-11.486128221993294,39.915257302298436,0.45052564021154057,Cluster6,Alta
13654-302143__0__20170206_225000.wav,0.3039831221103668,3712.2467635437015,2865.5224351691486,6338.620004565354,0.0011394488922213623,2.7680481073397165,46840.750325438006,0.998042112104931,0.8969626732684887,0.9910337660681461,222.0590920558878,792.5788174458709,0.00936768149882904,-100.3515102931758,-9.520900713835504,39.91664469514941,0.06575801264623338,Cluster6,Alta
13654-302143__0__20170127_082000.wav,0.659246027469635,1524.0920260919142,2637.149182828724,4618.247074091767,0.0,2.129903312504206,46625.79284155958,0.9998742227794907,0.9760965038817216,0.23791347154430287,1.624373906796159,773.9507317321884,0.08040593286494926,-100.3515102931758,-9.487195958580783,39.78405569821311,0.37249269781537936,Cluster6,Alta
13654-302143__0__20170203_101000.wav,0.8760006427764893,1724.2483923832608,3054.3857817523326,5970.130566103909,0.0,1.0817587718285988,46108.74412860943,0.9997519419405352,0.9632160339781618,0.16470667148196938,1.3943684592194465,771.0469094253173,0.02263856362217018,-100.3515102931758,-10.910982972831095,39.87304920003849,0.412299040505241,Cluster6,Alta
13654-302143__0__20170123_025000.wav,0.3819519281387329,2134.3068753198236,2662.5875487039593,4987.986504994678,0.0,2.4713320234961706,45972.840361830444,0.9994901244941571,0.9627492313868521,0.9701852777408906,66.08095358456427,783.4957433151565,0.0039032006245121,-100.3515102931758,-5.498726674277194,39.95445923204443,0.11204471915967741,Cluster6,Alta
13654-302143__0__20170206_011000.wav,0.28563883900642395,3386.7108846273773,2727.2126675414456,5886.906069351055,0.001895302220394737,2.5600937242297435,47889.97524977995,0.997584383853405,0.9098100633446613,0.9969056897021018,645.3475887853131,807.0002120091465,0.01327088212334114,-100.3515102931758,-7.581580597033252,39.820577774382755,0.07112037992338376,Cluster6,Alta
