filename,chroma_cqt,chroma_cens,spec_contrast,spectral_flatness,tonnetz,cluster,label
13654-SM5071__0__20170202_034000.wav,0.7278643250465393,0.28520521409625105,20.023929585915063,0.00013045726518612355,0.004495271673907901,Cluster7,alta
13654-SM5071__0__20170214_125000.wav,0.7619009613990784,0.2874740422794702,19.042399522424716,0.0001457960606785491,0.000492954045001229,Cluster7,alta
13654-SM5071__0__20170124_155000.wav,0.755174458026886,0.2870909540088748,18.804474461111,0.00024903748999349773,0.0004927246992527006,Cluster7,alta
13654-SM5071__0__20170216_062000.wav,0.7583971619606018,0.2868577258774849,18.656707875065273,5.821448939968832e-05,0.002113714608498405,Cluster7,alta
13654-SM5071__0__20170216_161000.wav,0.7458102703094482,0.28671563474256917,18.143953779718533,4.59859220427461e-05,0.0016276054148368347,Cluster7,alta
13654-SM5071__0__20170216_093000.wav,0.765317976474762,0.2874632897703861,18.56349539987848,5.653040352626704e-05,0.0007766081519612566,Cluster7,alta
13654-SM5071__0__20170215_131000.wav,0.7639357447624207,0.2874501997032146,18.54764789377301,8.474403148284182e-05,0.0004214661821445418,Cluster7,alta
13654-SM5071__0__20170216_175000.wav,0.7305245399475098,0.2849597181466367,19.146474117063605,4.922175867250189e-05,0.0008769479417251578,Cluster7,alta
13654-SM5071__0__20170126_195000.wav,0.7394164204597473,0.28640688148181237,20.981674011491265,0.0002900961844716221,0.0003510042266481438,Cluster7,alta
13654-SM5071__0__20170222_043000.wav,0.7101975083351135,0.28512317189594,19.871536360753197,9.647286060499027e-05,0.005668959851458432,Cluster7,alta
13654-SM5071__0__20170126_163000.wav,0.7593689560890198,0.2872636963391268,18.886025647288868,0.0001024718803819269,0.0006217823059241429,Cluster7,alta
13654-SM5071__0__20170126_221000.wav,0.7279625535011292,0.285166277904741,20.867134393949744,0.00017357726756017655,0.000468781396831532,Cluster7,alta
13654-SM5071__0__20170124_202000.wav,0.735224723815918,0.28564798944936626,20.482277374636247,0.00013978715287521482,0.0015028047953522558,Cluster7,alta
13654-302143__0__20170202_104000.wav,0.7031461596488953,0.2829974842882125,17.688957507247885,0.0003079950110986829,0.004624619599090575,Cluster6,alta
13654-302143__0__20170123_132000.wav,0.7057587504386902,0.2837070183832753,18.280959560588915,0.00044225575402379036,0.005048513470124656,Cluster6,alta
13654-302143__0__20170204_054000.wav,0.6850754618644714,0.2842349098695601,20.697407714227374,0.00019302939472254366,0.002124120823478391,Cluster6,alta
13654-302143__0__20170125_043000.wav,0.6955504417419434,0.2825201469697047,20.063428953012696,0.00022871294640935957,0.0038634233481690474,Cluster6,alta
13654-302143__0__20170126_172000.wav,0.6820054650306702,0.28132366415712723,18.361635990788464,0.0016977731138467789,0.004443894643052786,Cluster6,alta
13654-302143__0__20170124_112000.wav,0.6976976990699768,0.28287905237219707,18.00924996930725,0.0002095100498991087,0.0041263737648327276,Cluster6,alta
13654-302143__0__20170206_225000.wav,0.7249012589454651,0.28562767203788547,21.245938063768975,0.0009537748992443085,0.0012403865213604904,Cluster6,alta
13654-302143__0__20170127_082000.wav,0.6806806325912476,0.2816221135938496,19.12294413835303,0.0001908131962409243,0.002967620468711097,Cluster6,alta
13654-302143__0__20170203_101000.wav,0.6808231472969055,0.28170029157055665,18.97027165073286,0.00018641493807081133,0.003236754605043154,Cluster6,alta
13654-302143__0__20170123_025000.wav,0.7140388488769531,0.2853303839399788,19.656992057580847,0.00026840055943466723,0.0018654720773793915,Cluster6,alta
13654-302143__0__20170206_011000.wav,0.6880877017974854,0.28343850078782457,21.168311842094568,0.0006979804602451622,0.007880066891518057,Cluster6,alta
13654-302143__0__20170126_003000.wav,0.679398775100708,0.2816944975152444,20.721323118603127,0.0005904472782276571,0.008962237793666741,Cluster6,alta
13654-302143__0__20170202_071000.wav,0.6154341101646423,0.2737430242452794,19.708420206168896,0.00020277172734495252,0.003598172137293865,Cluster6,alta
