,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170212,302143,Bolívar,20170212302143,Alta,Alta,75º9'42.71'' W,"0,407199432608831","0,60275317953883","0,653692277927078","-0,144635637456088","0,768832294320063","0,34386378469744","-0,11491459914568","0,066764052736318","0,1359243074046","-0,486725528544876","-0,655551420380905","-0,507205553227554","-0,998146430287809","0,359251135258767","-1,27651325015121","0,708902171434657","0,068718052014273","-0,554102356374196","-0,397392080899784","-1,03196115093882","-0,153897080940568","0,141923944215324","-0,098172920018356","0,027253498773093","0,300797822288542","0,373804825871323","-0,980503119052434","-0,964405955648686","-0,764643800073179"
20170215,302143,Bolívar,20170215302143,Alta,Alta,75º9'42.71'' W,"0,482933936730222","0,089025719437511","0,405244654409198","1,77648251570918","0,582732539914766","0,600874005807064","0,447733334448539","-0,190149550554155","0,189293250925295","0,769611232834118","0,388242605402233","-0,379069197705772","-0,998146430287809","0,196131337667225","-0,808508909834962","-0,320566231711382","0,122504966701449","-0,52541094851839","0,317874415457785","-0,046652437226574","0,112950832473136","0,618885701551075","-0,245073971169356","-0,325794612476144","0,159056918867771","0,67045445505947","-0,442717184594822","-0,640013585869359","-0,84687429164778"
20170216,302143,Bolívar,20170216302143,Alta,Alta,75º9'42.71'' W,"0,967778766031339","0,721609425333762","0,826369294067375","0,788969764025567","0,669386262866854","0,204866088023525","-0,093364500790394","-0,040793729072371","0,165460919591336","-0,137948190055413","0,417027816822225","-0,438802525486875","-0,998146430287809","0,251957358948101","-1,11441189967938","0,074232842985621","0,098527791038083","-0,555150943675159","-0,387068551381754","-1,19379612375132","-0,973299645697457","0,158243594039371","-0,246942093931657","-0,069376366047116","0,302392297287595","0,218392692521283","-1,08605069984137","-1,24067169298025","-1,70625192161379"
20170222,302143,Bolívar,20170222302143,Alta,Alta,75º9'42.71'' W,"0,344089766592898","0,72419612291969","1,08384772795881","0,397346039334492","0,725760607783935","-0,710576376912081","-0,362874651945327","0,137746824719146","0,147016055636199","-0,445537654519953","0,197883834605618","-0,471154974510043","-0,998146430287809","-0,259244018457755","-1,40075236023656","0,32027169574441","0,078267606747909","-0,53404405677169","-0,099193433721864","-0,993284958276148","-0,361666049909419","0,204833341979548","-0,837582408675824","-0,641987683824448","-0,254815941768744","-0,379259573606658","-1,06208539494981","-1,58194341476223","-1,78502362841519"
20170223,302143,Bolívar,20170223302143,Alta,Alta,75º9'42.71'' W,"-0,454468996926785","0,499916746215734","-0,004477688824665","-0,224323820738162","0,756357436336029","-0,524986872868563","-0,453334550963746","-0,404263808656707","0,138736066323772","-0,40220560125003","0,006407767933523","-0,493532136896972","-0,998146430287809","-0,240464218890872","-1,05943685969983","0,527096122285708","0,070684163939739","-0,542049074723998","-0,204276497907704","-1,11477768747027","-0,40611865197663","-0,11691960293927","-0,775569609758043","-0,753092722761664","-0,081520194813751","-0,047442151010587","-0,668618184020387","-1,06633419457527","-1,38299964335548"
20170203,302151,Bolívar,20170203302151,Baja,Alta,75º11'14.7''W,"1,05779500180738","-0,492716153616312","-1,64232740310058","1,00294299370801","-0,43140285940603","-0,163960702436468","0,445923225701614","3,15488204002583","-1,13302423633609","-0,061060494536568","-1,1859371536899","-0,483120635685769","-0,998146430287809","-0,225159212415928","0,021678524881198","-0,722702109525961","-1,01629005183626","-0,3648415777669","-0,635789131494702","-1,01581746617929","-0,900844424183275","-0,879235903030612","-0,849447079178341","-0,662643583615733","-0,552613026266179","-1,80799683024811","-1,09906174824077","-1,23884453381961","-0,674386427776776"
20170204,302151,Bolívar,20170204302151,Baja,Alta,75º11'14.7''W,"0,623629026471806","-0,09726231710409","-1,41049887542527","0,948497181891451","-0,211117261755445","-0,131167207961377","0,586929905517632","2,06181166330233","-1,17858001097723","-0,276865428508173","-1,10132307134407","-0,503267187502553","-0,998146430287809","-0,334808736486059","0,08719588762691","-0,729388838704706","-1,08966064332701","-0,447109490722791","-0,522612613116963","-0,920424062599761","-0,625851895738893","-0,804118376284232","-0,85441387829922","-0,801018257900065","-0,711676255891909","-1,71183517516868","-0,886450876765834","-0,94480506680568","-0,31270629222557"
20170205,302151,Bolívar,20170205302151,Baja,Alta,75º11'14.7''W,"1,16100246033105","-0,330228469199198","-0,626338924095354","0,798767338915093","-0,309539951850976","-0,476917312192306","0,593901022157899","1,93763494441838","-1,17746265390024","-0,14527095052511","-1,20045752249604","-0,507079241876537","-0,998146430287809","-0,423085906317632","0,202890956128978","-0,715497383603058","-1,06862690355577","-0,433408778078397","-0,637012483346564","-0,886205556470402","-0,600567383658194","-0,866692723187797","-0,938411848847331","-1,14777149161464","-0,832718353492381","-1,59553818950848","-1,08075272237523","-1,42067220944131","-0,713127729489428"
20170206,302151,Bolívar,20170206302151,Baja,Alta,75º11'14.7''W,"2,44501971024314","0,233933684120462","0,0934232504331","1,30798714487359","-0,456433372051252","-0,643705465550996","0,867999538201878","3,32553294106965","-1,10805824741415","-0,246155219020619","-1,19338087221963","-0,47409858854557","-0,998146430287809","-0,648004054944818","0,173966439917284","-0,958562114186246","-1,00686423248701","-0,313548858409922","-0,590029535820288","-1,28755661896946","-0,990524713676026","-1,11475929268657","-1,14681197365342","-1,05109481939419","-0,673800460139226","-1,84275156288176","-1,11650400174478","-1,34980916838694","-1,01102372691859"
20170212,302151,Bolívar,20170212302151,Baja,Alta,75º11'14.7''W,"1,20524898193572","-0,038260601122004","-0,25069036159236","0,279348105920454","-0,06043274853373","-0,59803383320206","0,357500222027072","-0,151738958496633","-1,19087764110916","-0,105195033569364","-0,795506017443226","-0,508635975441111","-0,998146430287809","0,603313967453037","-0,140138927742814","-0,370983826644158","-1,09479645114338","-0,43308578849663","-1,54389832277938","-2,75458052292887","-1,24670348040004","-0,971300758987908","-0,472069864377031","-0,012476196599417","0,167750693737466","-0,348151486375597","-0,931505047656615","-1,24850931041548","-0,853694620003538"
20170213,302151,Bolívar,20170213302151,Baja,Alta,75º11'14.7''W,"0,382637193935795","-0,272463331065384","0,588883268410832","1,30805059795214","0,003683237050448","-0,021581386699642","0,644711349241472","1,86966153864028","-1,11642048537115","0,031686980537565","-0,410909756508767","-0,490992866421903","-0,998146430287809","0,752279644685959","-1,10305603235557","-0,463951851991937","-1,0523604457672","-0,325525126049732","-1,10224423306625","-2,99460500256167","-2,03421528642861","-1,79652433373493","-1,04138777167523","-0,212968826535926","0,294011830782681","0,103498633890641","-0,09137593403388","-0,62422759263568","-0,321369263695481"
20170303,302151,Bolívar,20170303302151,Baja,Alta,75º11'14.7''W,"1,32469069987694","-0,12724736951892","0,392165338292762","0,696737385082333","-0,175931929704462","-1,28352409029381","0,280728477016074","1,76609781147928","-1,14808941467761","-0,037465285452662","-0,501898340950967","-0,470025997563787","-0,998146430287809","-0,403466384669962","-0,437510410695362","-0,746682550202308","-1,07595924761606","-0,466552497112286","-1,2903345904672","-3,49825560877688","-1,65840647906904","-0,478718335186211","-0,405491015782727","-0,294614211334431","-0,09744404881029","-0,581121551866011","-1,39041152519277","-1,80872538740531","-1,01326388336385"
