,chroma_stft,spectral_centroid,spectral_bandwidth,tonnets,te,ems,md,p
9040,0.8065720796585083,1549.4848373793714,2623.260399768249,-0.000997,0.9999039298287784,0.9432858081907424,-9.316917527203774,18.271357848493285
9041,0.8031156063079834,1384.0745328593673,2435.899880277097,-0.00086,0.9999371204716696,0.9539064354300896,-8.77789398215089,13.429082407931375
9042,0.8209887146949768,1025.8274653831936,2146.9051379709867,0.0015232999999999998,0.9999549754763368,0.9590341493281662,-8.437811445424638,9.86797195352975
9043,0.8029196858406067,1153.3422250698513,2249.743511020531,0.0022655,0.9999597575492204,0.9534470615861264,-8.258347920710325,9.983370589360279
9044,0.8412988185882568,1078.7677524978312,2178.746990024796,2.9555222999999997,0.9999594249194748,0.9573014869572334,-8.321611354864595,9.975911344168424
9045,0.8538044691085815,994.8071701607477,2108.5546336377347,0.0021397,0.9999618827927024,0.9483004451212418,-8.397912865839949,7.779057467997171
9046,0.8454294800758362,991.3225054730773,2102.4040776241904,0.0032514,0.9999625272703038,0.952359065645783,-8.312615783080792,8.371224283157739
9047,0.8517602682113647,973.8772948031135,2083.1290120676713,0.0012455,0.9999643755700198,0.9528531621680246,-8.261686556811526,6.907650504607417
9048,0.8582699298858643,899.5396163930411,2019.049453892027,0.0024328,0.999966352436952,0.9622074178450142,-8.242339734591942,6.652916071330727
9049,0.8670194745063782,867.9586018697929,1983.315351801013,0.0012779999999999998,0.9999683386778369,0.9500773608735742,-8.287068222753833,6.6196961677425685
9050,0.8809278011322021,844.6623799565141,1967.5091200938446,0.0033082999999999997,0.9999707412972348,0.9577258341881304,-8.133432775939555,5.978512333561012
9051,0.8596168756484985,838.7563144288714,1954.3211818940815,0.0014864000000000001,0.999969481553127,0.9626611656100892,-8.037829156923767,5.528697984047989
9052,0.8882750868797302,812.1933161920857,1939.090633249763,0.0011785,0.999972276999761,0.9875003782442986,-7.975253580854452,4.1074092867779886
9053,0.8907196521759033,743.8710605773023,1881.301333803836,0.004763300000000001,0.9999710562752774,0.9564070869180298,-8.094328542580076,4.489422743639422
9054,0.8841274380683899,846.8295703854454,1969.8324306257186,-0.00591,0.999971388213918,0.9820538162801652,-8.067464578658331,4.803641643227543
9055,0.8917560577392578,754.9475869373877,1885.7189421549317,0.0040016,0.9999640502924984,0.9556866168578992,-8.116180155213845,4.940896281635349
9056,0.89581698179245,757.421594240159,1876.2544089548426,0.0018097,0.9999749892012104,0.985099832147114,-7.940734756079363,2.7838747127109564
9057,0.9035376310348512,701.10418229533,1833.7124373831125,0.0013015999999999998,0.999976031806834,0.983676235221848,-7.967862467914559,3.4277634237070167
9058,0.9001057744026184,693.1845618690172,1829.6445779428573,0.0028071,0.9999801099878948,0.9916412262840448,-7.898001816546251,2.5711454523456725
9059,0.8940569758415222,799.7526151340124,1936.767990780026,0.0021154,0.9999758826689232,0.9894114065120619,-7.945989104783951,3.5231211011645307
9060,0.8968787193298341,818.1909667416469,1941.1495525647447,-0.0010789999999999999,0.9999741765022894,0.9887765927375378,-8.021121230553582,4.437768875126669
